level,group,spc_bin,prev_cnt,prev_avg_eok,curr_cnt,curr_avg_eok,avg_change_pct,new_cnt,new_avg_eok,new_premium_pct,del_cnt,del_avg_eok,del_premium_pct
ALL,ALL,<33,13,4.10,12,4.25,+3.5%,10,4.17,-1.8%,11,4.00,-5.7%
ALL,ALL,33-65,619,8.46,541,8.71,+3.0%,262,8.78,+0.8%,340,8.29,-4.8%
ALL,ALL,66-98,1518,13.33,1471,13.56,+1.7%,702,14.06,+3.7%,749,13.55,-0.0%
ALL,ALL,99-131,411,20.18,385,20.26,+0.4%,218,21.13,+4.3%,244,20.88,+3.0%
ALL,ALL,132-164,218,24.11,205,24.79,+2.8%,107,25.89,+4.4%,120,24.53,-1.0%
ALL,ALL,>=165,71,40.83,69,42.97,+5.2%,47,44.36,+3.3%,49,41.21,-4.1%
ALL,ALL,ALL_BINS,2850,14.73,2683,15.12,+2.6%,1346,16.10,+6.5%,1513,15.25,+0.9%
